match_id,home_team,away_team,home_score,away_score,match_result,home_positive_changes,home_negative_changes,away_positive_changes,away_negative_changes,total_windows,change_winner,change_margin,change_margin_pct,home_positive_pct,away_positive_pct,change_winner_outcome
3930158,Germany,Scotland,5,1,home_win,51,38,49,40,89,home,2,2.247191011235955,57.30337078651685,55.0561797752809,WIN
3930159,Hungary,Switzerland,1,3,away_win,50,43,48,45,93,home,2,2.1505376344086025,53.76344086021505,51.61290322580645,LOSE
3930160,Spain,Croatia,3,0,home_win,49,42,50,41,91,away,1,1.098901098901099,53.84615384615385,54.94505494505495,LOSE
3930161,Italy,Albania,2,1,home_win,52,39,54,37,91,away,2,2.197802197802198,57.14285714285714,59.34065934065934,LOSE
3930162,Slovenia,Denmark,1,1,draw,46,44,46,42,90,tie,0,0.0,51.11111111111111,51.11111111111111,TIE_CHANGE
3930163,Serbia,England,0,1,away_win,47,43,47,43,90,tie,0,0.0,52.22222222222223,52.22222222222223,TIE_CHANGE
3930164,Belgium,Slovakia,0,1,away_win,48,46,47,47,94,home,1,1.0638297872340425,51.06382978723404,50.0,LOSE
3930165,Austria,France,0,1,away_win,50,44,54,41,95,away,4,4.2105263157894735,52.63157894736842,56.84210526315789,WIN
3930166,Portugal,Czech Republic,2,1,home_win,46,45,48,43,91,away,2,2.197802197802198,50.54945054945055,52.74725274725275,LOSE
3930167,Croatia,Albania,2,2,draw,49,45,50,44,94,away,1,1.0638297872340425,52.12765957446809,53.191489361702125,DRAW
3930168,Germany,Hungary,2,0,home_win,47,42,48,41,89,away,1,1.1235955056179776,52.80898876404494,53.93258426966292,LOSE
3930169,Scotland,Switzerland,1,1,draw,51,39,47,43,90,home,4,4.444444444444445,56.666666666666664,52.22222222222223,DRAW
3930170,Slovenia,Serbia,1,1,draw,50,41,54,38,92,away,4,4.3478260869565215,54.347826086956516,58.69565217391305,DRAW
3930171,Denmark,England,1,1,draw,46,43,46,43,89,tie,0,0.0,51.68539325842697,51.68539325842697,TIE_CHANGE
3930172,Spain,Italy,1,0,home_win,43,49,48,44,92,away,5,5.434782608695652,46.73913043478261,52.17391304347826,LOSE
3930173,Netherlands,France,0,0,draw,48,43,54,37,91,away,6,6.593406593406594,52.74725274725275,59.34065934065934,DRAW
3930174,Turkey,Portugal,0,3,away_win,48,43,47,44,91,home,1,1.098901098901099,52.74725274725275,51.64835164835166,LOSE
3930175,Belgium,Romania,2,0,home_win,55,35,49,41,90,home,6,6.666666666666667,61.111111111111114,54.44444444444444,WIN
3930176,Switzerland,Germany,1,1,draw,44,46,51,39,90,away,7,7.777777777777778,48.888888888888886,56.666666666666664,DRAW
3930177,Scotland,Hungary,0,1,away_win,57,39,51,45,97,home,6,6.185567010309279,58.76288659793815,52.57731958762887,LOSE
3930178,Croatia,Italy,1,1,draw,51,44,49,46,95,home,2,2.1052631578947367,53.68421052631579,51.578947368421055,DRAW
3930179,Albania,Spain,0,1,away_win,46,44,45,45,90,home,1,1.1111111111111112,51.11111111111111,50.0,LOSE
3930180,Netherlands,Austria,2,3,away_win,50,43,50,43,93,tie,0,0.0,53.76344086021505,53.76344086021505,TIE_CHANGE
3930181,England,Slovenia,0,0,draw,53,37,47,43,90,home,6,6.666666666666667,58.88888888888889,52.22222222222223,DRAW
3930182,Denmark,Serbia,0,0,draw,47,44,48,43,91,away,1,1.098901098901099,51.64835164835166,52.74725274725275,DRAW
3930183,Slovakia,Romania,1,1,draw,52,38,48,42,90,home,4,4.444444444444445,57.77777777777777,53.333333333333336,DRAW
3930184,Czech Republic,Turkey,1,2,away_win,47,46,53,40,93,away,6,6.451612903225806,50.53763440860215,56.98924731182796,WIN
3938637,Poland,Netherlands,1,2,away_win,50,41,47,44,91,home,3,3.296703296703297,54.94505494505495,51.64835164835166,LOSE
3938638,Romania,Ukraine,3,0,home_win,46,44,53,37,90,away,7,7.777777777777778,51.11111111111111,58.88888888888889,LOSE
3938639,Turkey,Georgia,3,1,home_win,45,48,47,46,93,away,2,2.1505376344086025,48.38709677419355,50.53763440860215,LOSE
3938640,Slovakia,Ukraine,1,2,away_win,49,42,48,43,91,home,1,1.098901098901099,53.84615384615385,52.74725274725275,LOSE
3938641,Poland,Austria,1,3,away_win,56,34,46,44,90,home,10,11.11111111111111,62.22222222222222,51.11111111111111,LOSE
3938642,Georgia,Czech Republic,1,1,draw,46,45,49,42,91,away,3,3.296703296703297,50.54945054945055,53.84615384615385,DRAW
3938643,France,Poland,1,1,draw,49,42,49,42,91,tie,0,0.0,53.84615384615385,53.84615384615385,TIE_CHANGE
3938644,Georgia,Portugal,2,0,home_win,48,42,52,38,90,away,4,4.444444444444445,53.333333333333336,57.77777777777777,LOSE
3938645,Ukraine,Belgium,0,0,draw,41,49,53,37,90,away,12,13.333333333333334,45.55555555555556,58.88888888888889,DRAW
3940878,Switzerland,Italy,2,0,home_win,45,42,47,41,88,away,2,2.272727272727273,51.13636363636363,53.40909090909091,LOSE
3940983,Germany,Denmark,2,0,home_win,49,42,53,38,91,away,4,4.395604395604396,53.84615384615385,58.24175824175825,LOSE
3941017,England,Slovakia,2,1,home_win,65,52,63,54,117,home,2,1.7094017094017095,55.55555555555556,53.84615384615385,WIN
3941018,Spain,Georgia,4,1,home_win,60,29,45,44,89,home,15,16.853932584269664,67.41573033707866,50.56179775280899,WIN
3941019,France,Belgium,1,0,home_win,52,37,48,41,89,home,4,4.49438202247191,58.42696629213483,53.93258426966292,WIN
3941020,Portugal,Slovenia,0,0,draw,65,54,62,57,120,home,3,2.5,54.166666666666664,51.66666666666667,DRAW
3941021,Romania,Netherlands,0,3,away_win,50,40,52,38,90,away,2,2.2222222222222223,55.55555555555556,57.77777777777777,WIN
3941022,Austria,Turkey,1,2,away_win,52,39,51,40,91,home,1,1.098901098901099,57.14285714285714,56.043956043956044,LOSE
3942226,Spain,Germany,2,1,home_win,65,57,67,55,122,away,2,1.639344262295082,53.278688524590166,54.91803278688525,LOSE
3942227,England,Switzerland,1,1,draw,65,58,63,60,123,home,2,1.6260162601626018,52.84552845528455,51.21951219512195,DRAW
3942349,Portugal,France,0,0,draw,54,69,65,58,123,away,11,8.94308943089431,43.90243902439025,52.84552845528455,DRAW
3942382,Netherlands,Turkey,2,1,home_win,46,46,43,49,92,home,3,3.260869565217391,50.0,46.73913043478261,WIN
3942752,Spain,France,2,1,home_win,49,42,47,44,91,home,2,2.197802197802198,53.84615384615385,51.64835164835166,WIN
3942819,Netherlands,England,1,2,away_win,48,43,45,46,91,home,3,3.296703296703297,52.74725274725275,49.45054945054945,LOSE
3943043,Spain,England,2,1,home_win,44,46,44,46,90,tie,0,0.0,48.888888888888886,48.888888888888886,TIE_CHANGE
