match_id,team_a,team_b,stage,period,period_name,period_result,period_winner,consecutive_ratio,possessions_ratio,turnovers_ratio,consecutive_reflects,possessions_reflects,turnovers_reflects,team_a_consecutive,team_b_consecutive,team_a_possessions,team_b_possessions,team_a_turnovers,team_b_turnovers,match_date
3942819,Netherlands,England,Semi-finals,1,First Half,1-1 (D),Draw,0.5864911417322834,1.1428571428571428,1.0588235294117647,False,False,True,14.1875,24.19047619047619,48,42,18,17,2024-07-10
3942819,Netherlands,England,Semi-finals,2,Second Half,1-2 (B),Team B,0.8982347563119769,0.9516129032258065,1.0,True,True,False,13.966101694915254,15.548387096774194,59,62,21,21,2024-07-10
3943043,Spain,England,Final,1,First Half,0-0 (D),Draw,1.837888531618435,0.9473684210526315,1.0,False,True,True,15.041666666666666,8.18421052631579,72,76,26,26,2024-07-14
3943043,Spain,England,Final,2,Second Half,2-1 (A),Team A,1.3842729970326408,1.0,1.0,True,False,False,14.353846153846154,10.36923076923077,65,65,22,22,2024-07-14
3942752,Spain,France,Semi-finals,1,First Half,2-1 (A),Team A,1.257176052487698,0.9538461538461539,1.0,True,False,False,13.693548387096774,10.892307692307693,62,65,24,24,2024-07-09
3942752,Spain,France,Semi-finals,2,Second Half,2-1 (A),Team A,1.3431490384615383,1.0666666666666667,1.0,True,True,False,13.0375,9.706666666666667,80,75,28,28,2024-07-09
3942382,Netherlands,Turkey,Quarter-finals,1,First Half,0-1 (B),Team B,1.168213457076566,1.0,1.0476190476190477,False,False,True,17.06779661016949,14.610169491525424,59,59,22,21,2024-07-06
3942382,Netherlands,Turkey,Quarter-finals,2,Second Half,2-1 (A),Team A,1.458164450755131,0.9838709677419355,1.0,True,False,False,14.934426229508198,10.241935483870968,61,62,22,22,2024-07-06
3942349,Portugal,France,Quarter-finals,1,First Half,0-0 (D),Draw,1.2990314769975786,0.9365079365079365,1.0476190476190477,False,True,True,18.1864406779661,14.0,59,63,22,21,2024-07-05
3942349,Portugal,France,Quarter-finals,2,Second Half,0-0 (D),Draw,1.50938292476754,1.0483870967741935,0.9523809523809523,False,True,True,17.723076923076924,11.741935483870968,65,62,20,21,2024-07-05
3930180,Netherlands,Austria,Group Stage,1,First Half,0-0 (D),Draw,0.7634181078331638,1.0273972602739727,1.05,False,True,True,10.28,13.465753424657533,75,73,21,20,2024-06-25
3930180,Netherlands,Austria,Group Stage,2,Second Half,2-3 (B),Team B,1.5050854700854703,0.975609756097561,1.0,False,True,False,10.7375,7.134146341463414,80,82,25,25,2024-06-25
3930171,Denmark,England,Group Stage,1,First Half,1-1 (D),Draw,1.180448839863066,0.9322033898305084,1.0454545454545454,False,True,True,19.12727272727273,16.203389830508474,55,59,23,22,2024-06-20
3930171,Denmark,England,Group Stage,2,Second Half,1-1 (D),Draw,1.0557365132176757,0.9625,1.0,True,True,True,12.25974025974026,11.6125,77,80,30,30,2024-06-20
3942227,England,Switzerland,Quarter-finals,1,First Half,0-0 (D),Draw,1.1343900481540932,1.037037037037037,1.0526315789473684,False,True,True,18.696428571428573,16.48148148148148,56,54,20,19,2024-07-06
3942227,England,Switzerland,Quarter-finals,2,Second Half,1-1 (D),Draw,0.9621470092525711,0.9850746268656716,1.0,True,True,True,12.651515151515152,13.149253731343284,66,67,23,23,2024-07-06
3942226,Spain,Germany,Quarter-finals,1,First Half,0-0 (D),Draw,0.9432841932841933,0.9705882352941176,1.0416666666666667,True,True,True,12.318181818181818,13.058823529411764,66,68,25,24,2024-07-05
3942226,Spain,Germany,Quarter-finals,2,Second Half,2-1 (A),Team A,0.9588970588235294,0.9876543209876543,1.0,False,False,False,10.0625,10.493827160493828,80,81,29,29,2024-07-05
3938645,Ukraine,Belgium,Group Stage,1,First Half,0-0 (D),Draw,0.6753494451557832,1.0923076923076922,1.0,False,True,True,10.971830985915492,16.246153846153845,71,65,27,27,2024-06-26
3938645,Ukraine,Belgium,Group Stage,2,Second Half,0-0 (D),Draw,0.7503799392097265,1.0632911392405062,1.0,False,True,True,8.928571428571429,11.89873417721519,84,79,30,30,2024-06-26
3930184,Czech Republic,Turkey,Group Stage,1,First Half,0-0 (D),Draw,0.558601134215501,1.0,1.04,False,True,True,8.208333333333334,14.694444444444445,72,72,26,25,2024-06-26
3930184,Czech Republic,Turkey,Group Stage,2,Second Half,1-2 (B),Team B,0.6269161529649228,1.0147058823529411,1.0,True,False,False,7.3478260869565215,11.720588235294118,69,68,23,23,2024-06-26
3941022,Austria,Turkey,Round of 16,1,First Half,0-1 (B),Team B,1.0325704225352113,1.0289855072463767,1.0,False,False,False,13.647887323943662,13.217391304347826,71,69,22,22,2024-07-02
3941022,Austria,Turkey,Round of 16,2,Second Half,1-2 (B),Team B,1.747831325301205,0.9325842696629213,1.0,False,True,False,13.74698795180723,7.865168539325842,83,89,33,33,2024-07-02
3941021,Romania,Netherlands,Round of 16,1,First Half,0-1 (B),Team B,0.46678115998864084,1.106060606060606,1.0,True,False,False,7.164383561643835,15.348484848484848,73,66,23,23,2024-07-02
3941021,Romania,Netherlands,Round of 16,2,Second Half,0-3 (B),Team B,0.8136645962732919,1.0,1.0,True,False,False,8.397435897435898,10.320512820512821,78,78,26,26,2024-07-02
3941020,Portugal,Slovenia,Round of 16,1,First Half,0-0 (D),Draw,1.5692934782608696,1.0389610389610389,1.0,False,True,True,12.1875,7.766233766233766,80,77,26,26,2024-07-01
3941020,Portugal,Slovenia,Round of 16,2,Second Half,0-0 (D),Draw,2.15730853727073,0.9866666666666667,1.0,False,True,True,15.216216216216216,7.053333333333334,74,75,25,25,2024-07-01
3941019,France,Belgium,Round of 16,1,First Half,0-0 (D),Draw,1.6078753076292043,0.8833333333333333,1.0555555555555556,False,False,True,22.18867924528302,13.8,53,60,19,18,2024-07-01
3941019,France,Belgium,Round of 16,2,Second Half,1-0 (A),Team A,1.0694444444444444,1.0,1.0,True,False,False,13.902777777777779,13.0,72,72,24,24,2024-07-01
3941018,Spain,Georgia,Round of 16,1,First Half,1-0 (A),Team A,2.682847644278219,0.9452054794520548,1.0,True,False,False,20.507246376811594,7.6438356164383565,69,73,25,25,2024-06-30
3941018,Spain,Georgia,Round of 16,2,Second Half,4-1 (A),Team A,2.301058064516129,0.9393939393939394,1.0434782608695652,True,False,False,21.79032258064516,9.469696969696969,62,66,24,23,2024-06-30
3941017,England,Slovakia,Round of 16,1,First Half,0-1 (B),Team B,2.493292933118707,0.9672131147540983,1.0,False,True,False,21.949152542372882,8.80327868852459,59,61,19,19,2024-06-30
3941017,England,Slovakia,Round of 16,2,Second Half,2-1 (A),Team A,1.8716517857142858,0.9230769230769231,1.0357142857142858,True,False,False,16.125,8.615384615384615,72,78,29,28,2024-06-30
3930182,Denmark,Serbia,Group Stage,1,First Half,0-0 (D),Draw,1.4363425925925926,0.9863013698630136,1.0,False,True,True,16.76388888888889,11.67123287671233,72,73,25,25,2024-06-25
3930182,Denmark,Serbia,Group Stage,2,Second Half,0-0 (D),Draw,0.8864628820960698,1.0,1.037037037037037,False,True,True,10.826666666666666,12.213333333333333,75,75,28,27,2024-06-25
3930179,Albania,Spain,Group Stage,1,First Half,0-1 (B),Team B,0.6726158477583055,1.0441176470588236,1.0,True,False,False,10.366197183098592,15.411764705882353,71,68,24,24,2024-06-24
3930179,Albania,Spain,Group Stage,2,Second Half,0-1 (B),Team B,0.758503860786565,0.9873417721518988,1.0344827586206897,True,True,True,10.935897435897436,14.417721518987342,78,79,30,29,2024-06-24
3940983,Germany,Denmark,Round of 16,1,First Half,0-0 (D),Draw,1.5263770099213139,0.9487179487179487,1.0,False,True,True,15.45945945945946,10.128205128205128,74,78,26,26,2024-06-29
3940983,Germany,Denmark,Round of 16,2,Second Half,2-0 (A),Team A,1.0012121212121212,0.9375,1.0344827586206897,True,False,False,11.013333333333334,11.0,75,80,30,29,2024-06-29
3940878,Switzerland,Italy,Round of 16,1,First Half,1-0 (A),Team A,1.3163448585541087,1.0303030303030303,1.0476190476190477,True,True,False,15.676470588235293,11.909090909090908,68,66,22,21,2024-06-29
3940878,Switzerland,Italy,Round of 16,2,Second Half,2-0 (A),Team A,0.7881882770870338,0.9859154929577465,0.96,False,False,True,12.5,15.859154929577464,70,71,24,25,2024-06-29
3930177,Scotland,Hungary,Group Stage,1,First Half,0-0 (D),Draw,1.4287784379075497,0.9571428571428572,1.0476190476190477,False,True,True,14.716417910447761,10.3,67,70,22,21,2024-06-23
3930177,Scotland,Hungary,Group Stage,2,Second Half,0-1 (B),Team B,1.0521913588968324,0.9885057471264368,0.967741935483871,False,True,False,9.953488372093023,9.459770114942529,86,87,30,31,2024-06-23
3930173,Netherlands,France,Group Stage,1,First Half,0-0 (D),Draw,0.6478184991273996,1.015625,1.0526315789473684,False,True,True,11.6,17.90625,65,64,20,19,2024-06-21
3930173,Netherlands,France,Group Stage,2,Second Half,0-0 (D),Draw,0.5544909020518777,1.0980392156862746,0.9411764705882353,False,True,True,12.035714285714286,21.705882352941178,56,51,16,17,2024-06-21
3930172,Spain,Italy,Group Stage,1,First Half,0-0 (D),Draw,1.5019354838709675,0.9259259259259259,1.0344827586206897,False,True,True,15.52,10.333333333333334,75,81,30,29,2024-06-20
3930172,Spain,Italy,Group Stage,2,Second Half,1-0 (A),Team A,1.1816352318996584,0.9583333333333334,1.0,True,False,False,15.246376811594203,12.902777777777779,69,72,25,25,2024-06-20
3930167,Croatia,Albania,Group Stage,1,First Half,0-1 (B),Team B,1.901007625272331,0.9855072463768116,1.0,False,True,False,17.852941176470587,9.391304347826088,68,69,24,24,2024-06-19
3930167,Croatia,Albania,Group Stage,2,Second Half,2-2 (D),Draw,1.6047657252888317,0.9010989010989011,1.0,False,True,True,13.402439024390244,8.351648351648352,82,91,35,35,2024-06-19
3930168,Germany,Hungary,Group Stage,1,First Half,1-0 (A),Team A,2.3569023569023573,0.9428571428571428,1.0,True,False,False,20.606060606060606,8.742857142857142,66,70,20,20,2024-06-19
3930168,Germany,Hungary,Group Stage,2,Second Half,2-0 (A),Team A,1.9400684931506849,0.948051948051948,1.0,True,False,False,16.931506849315067,8.727272727272727,73,77,28,28,2024-06-19
3930165,Austria,France,Group Stage,1,First Half,0-0 (D),Draw,0.9369811137544303,1.0238095238095237,1.0,True,True,True,10.686046511627907,11.404761904761905,86,84,29,29,2024-06-17
3930165,Austria,France,Group Stage,2,Second Half,0-1 (B),Team B,1.2372971785456486,1.0129870129870129,1.0,False,False,False,13.128205128205128,10.61038961038961,78,77,26,26,2024-06-17
3930164,Belgium,Slovakia,Group Stage,1,First Half,0-1 (B),Team B,1.0888424821002387,1.0126582278481013,1.037037037037037,False,False,True,11.55,10.60759493670886,80,79,28,27,2024-06-17
3930164,Belgium,Slovakia,Group Stage,2,Second Half,0-1 (B),Team B,1.6621823617339313,1.0,1.0,False,False,False,13.728395061728396,8.25925925925926,81,81,29,29,2024-06-17
3930161,Italy,Albania,Group Stage,1,First Half,2-1 (A),Team A,2.4399906645661935,0.9354838709677419,1.0,True,False,False,23.25862068965517,9.53225806451613,58,62,19,19,2024-06-15
3930161,Italy,Albania,Group Stage,2,Second Half,2-1 (A),Team A,1.8670399465151262,0.9393939393939394,1.0416666666666667,True,False,False,21.838709677419356,11.696969696969697,62,66,25,24,2024-06-15
3938637,Poland,Netherlands,Group Stage,1,First Half,1-1 (D),Draw,0.5148465419381963,1.0634920634920635,1.0588235294117647,False,True,True,9.283582089552239,18.03174603174603,67,63,18,17,2024-06-16
3938637,Poland,Netherlands,Group Stage,2,Second Half,1-2 (B),Team B,0.6139418330928696,1.0129870129870129,0.9629629629629629,True,False,False,8.076923076923077,13.155844155844155,78,77,26,27,2024-06-16
3938640,Slovakia,Ukraine,Group Stage,1,First Half,1-0 (A),Team A,1.2313770180436847,1.015625,1.0416666666666667,True,True,False,15.584615384615384,12.65625,65,64,25,24,2024-06-21
3938640,Slovakia,Ukraine,Group Stage,2,Second Half,1-2 (B),Team B,1.2639353400222966,0.9176470588235294,1.0,False,True,False,11.628205128205128,9.2,78,85,28,28,2024-06-21
3938642,Georgia,Czech Republic,Group Stage,1,First Half,1-0 (A),Team A,0.9104547004308341,1.013157894736842,1.0454545454545454,False,True,False,10.03896103896104,11.026315789473685,77,76,23,22,2024-06-22
3938642,Georgia,Czech Republic,Group Stage,2,Second Half,1-1 (D),Draw,0.5103212884238064,1.0731707317073171,0.9705882352941176,False,True,True,6.920454545454546,13.560975609756097,88,82,33,34,2024-06-22
3938639,Turkey,Georgia,Group Stage,1,First Half,1-1 (D),Draw,1.5464282335131045,0.9154929577464789,1.0,False,True,True,17.70769230769231,11.450704225352112,65,71,25,25,2024-06-18
3938639,Turkey,Georgia,Group Stage,2,Second Half,3-1 (A),Team A,1.0093437635810516,0.975,1.037037037037037,True,False,False,11.91025641025641,11.8,78,80,28,27,2024-06-18
3938641,Poland,Austria,Group Stage,1,First Half,1-1 (D),Draw,0.6618305817068909,1.0595238095238095,1.0,False,True,True,8.359550561797754,12.630952380952381,89,84,30,30,2024-06-21
3938641,Poland,Austria,Group Stage,2,Second Half,1-3 (B),Team B,1.085978835978836,0.9767441860465116,1.0,False,True,False,9.773809523809524,9.0,84,86,28,28,2024-06-21
3938644,Georgia,Portugal,Group Stage,1,First Half,1-0 (A),Team A,0.48305658056580564,1.0434782608695652,1.0357142857142858,False,True,False,9.48611111111111,19.63768115942029,72,69,29,28,2024-06-26
3938644,Georgia,Portugal,Group Stage,2,Second Half,2-0 (A),Team A,0.4590459045904591,1.0,1.0,False,False,False,7.183098591549296,15.647887323943662,71,71,28,28,2024-06-26
3938643,France,Poland,Group Stage,1,First Half,0-0 (D),Draw,1.3275587996755878,1.0135135135135136,1.0,False,True,True,14.746666666666666,11.108108108108109,75,74,26,26,2024-06-25
3938643,France,Poland,Group Stage,2,Second Half,1-1 (D),Draw,1.0943468296409473,0.9871794871794872,1.0454545454545454,True,True,True,12.402597402597403,11.333333333333334,77,78,23,22,2024-06-25
3938638,Romania,Ukraine,Group Stage,1,First Half,1-0 (A),Team A,0.5195813894843021,1.0294117647058822,1.0,False,True,False,8.657142857142857,16.66176470588235,70,68,27,27,2024-06-17
3938638,Romania,Ukraine,Group Stage,2,Second Half,3-0 (A),Team A,0.4861407249466951,1.0789473684210527,1.0333333333333334,False,True,False,6.0,12.342105263157896,82,76,31,30,2024-06-17
3930183,Slovakia,Romania,Group Stage,1,First Half,1-1 (D),Draw,1.106396153565965,0.9866666666666667,1.0,False,True,True,10.945945945945946,9.893333333333333,74,75,29,29,2024-06-26
3930183,Slovakia,Romania,Group Stage,2,Second Half,1-1 (D),Draw,1.5845198784836878,0.8589743589743589,1.0416666666666667,False,False,True,11.477611940298507,7.243589743589744,67,78,25,24,2024-06-26
3930181,England,Slovenia,Group Stage,1,First Half,0-0 (D),Draw,2.0143419281350314,0.9354838709677419,1.0,False,True,True,21.637931034482758,10.741935483870968,58,62,22,22,2024-06-25
3930181,England,Slovenia,Group Stage,2,Second Half,0-0 (D),Draw,2.8775932203389827,0.8805970149253731,1.0434782608695652,False,False,True,21.47457627118644,7.462686567164179,59,67,24,23,2024-06-25
3930178,Croatia,Italy,Group Stage,1,First Half,0-0 (D),Draw,1.2697308394160585,1.0158730158730158,1.05,False,True,True,19.328125,15.222222222222221,64,63,21,20,2024-06-24
3930178,Croatia,Italy,Group Stage,2,Second Half,1-1 (D),Draw,0.6219724042088545,1.028169014084507,0.95,False,True,True,9.67123287671233,15.549295774647888,73,71,19,20,2024-06-24
3930176,Switzerland,Germany,Group Stage,1,First Half,1-0 (A),Team A,0.4814449642325201,1.0735294117647058,1.0,False,True,False,9.246575342465754,19.205882352941178,73,68,24,24,2024-06-23
3930176,Switzerland,Germany,Group Stage,2,Second Half,1-1 (D),Draw,0.6857658470561695,1.0263157894736843,1.0,False,True,True,9.23076923076923,13.460526315789474,78,76,27,27,2024-06-23
3930175,Belgium,Romania,Group Stage,1,First Half,1-0 (A),Team A,1.6782051282051282,1.0129870129870129,1.0,True,True,False,13.73076923076923,8.181818181818182,78,77,25,25,2024-06-22
3930175,Belgium,Romania,Group Stage,2,Second Half,2-0 (A),Team A,0.7760663507109005,1.0,1.0,False,False,False,7.528735632183908,9.701149425287356,87,87,28,28,2024-06-22
3930174,Turkey,Portugal,Group Stage,1,First Half,0-1 (B),Team B,0.7297804596582456,0.9861111111111112,1.0416666666666667,True,True,True,10.267605633802816,14.069444444444445,71,72,25,24,2024-06-22
3930174,Turkey,Portugal,Group Stage,2,Second Half,0-3 (B),Team B,0.9644689993861264,0.9146341463414634,0.9655172413793104,True,True,False,12.773333333333333,13.24390243902439,75,82,28,29,2024-06-22
3930170,Slovenia,Serbia,Group Stage,1,First Half,0-0 (D),Draw,0.8672760996290408,1.0422535211267605,1.0,False,True,True,12.45945945945946,14.366197183098592,74,71,24,24,2024-06-20
3930170,Slovenia,Serbia,Group Stage,2,Second Half,1-1 (D),Draw,0.5488732806555457,1.096774193548387,1.0,False,True,True,8.897058823529411,16.20967741935484,68,62,20,20,2024-06-20
3930169,Scotland,Switzerland,Group Stage,1,First Half,1-1 (D),Draw,0.9139968694803049,1.064102564102564,1.0333333333333334,True,True,True,9.831325301204819,10.756410256410257,83,78,31,30,2024-06-19
3930169,Scotland,Switzerland,Group Stage,2,Second Half,1-1 (D),Draw,0.8777117293786002,0.9647058823529412,0.9615384615384616,False,True,True,8.21951219512195,9.364705882352942,82,85,25,26,2024-06-19
3930166,Portugal,Czech Republic,Group Stage,1,First Half,0-0 (D),Draw,2.3445945945945947,1.0,1.0384615384615385,False,True,True,20.41176470588235,8.705882352941176,68,68,27,26,2024-06-18
3930166,Portugal,Czech Republic,Group Stage,2,Second Half,2-1 (A),Team A,2.0088860453543758,1.051948051948052,1.0,True,True,False,13.592592592592593,6.766233766233766,81,77,23,23,2024-06-18
3930163,Serbia,England,Group Stage,1,First Half,0-1 (B),Team B,0.8555802743789395,0.9666666666666667,1.0,True,True,False,15.913793103448276,18.6,58,60,23,23,2024-06-16
3930163,Serbia,England,Group Stage,2,Second Half,0-1 (B),Team B,1.007496251874063,0.9583333333333334,1.0434782608695652,False,True,True,13.391304347826088,13.291666666666666,69,72,24,23,2024-06-16
3930162,Slovenia,Denmark,Group Stage,1,First Half,0-1 (B),Team B,0.5354405000589691,1.0166666666666666,1.05,True,False,True,11.163934426229508,20.85,61,60,21,20,2024-06-16
3930162,Slovenia,Denmark,Group Stage,2,Second Half,1-1 (D),Draw,0.6461377870563675,1.0,1.0,False,True,True,8.364864864864865,12.945945945945946,74,74,23,23,2024-06-16
3930160,Spain,Croatia,Group Stage,1,First Half,3-0 (A),Team A,0.788362866966411,1.0555555555555556,1.0416666666666667,False,True,False,10.894736842105264,13.819444444444445,76,72,25,24,2024-06-15
3930160,Spain,Croatia,Group Stage,2,Second Half,3-0 (A),Team A,0.9550785831574009,0.9882352941176471,0.9705882352941176,False,False,True,11.404761904761905,11.941176470588236,84,85,33,34,2024-06-15
3930159,Hungary,Switzerland,Group Stage,1,First Half,0-2 (B),Team B,0.6979030144167758,0.9859154929577465,1.0416666666666667,True,True,True,9.642857142857142,13.816901408450704,70,71,25,24,2024-06-15
3930159,Hungary,Switzerland,Group Stage,2,Second Half,1-3 (B),Team B,1.1977949395386647,1.04,0.9583333333333334,False,False,False,12.08974358974359,10.093333333333334,78,75,23,24,2024-06-15
3930158,Germany,Scotland,Group Stage,1,First Half,3-0 (A),Team A,1.9841282917318834,0.953125,1.05,True,False,False,18.508196721311474,9.328125,61,64,21,20,2024-06-14
3930158,Germany,Scotland,Group Stage,2,Second Half,5-1 (A),Team A,3.0496556723450525,0.8857142857142857,1.0,True,False,False,19.387096774193548,6.357142857142857,62,70,25,25,2024-06-14
