Feature,Total_Values,Missing_Count,Missing_Pct,Non_Null_Count,Structure_Type,Description,Unique_Values,Main_Fields,Detailed_Structure,Sample_Value
id,187858,0,0.0,187858,Simple Categorical,"Categorical values - 187,858 unique categories",187858,['value'],"{'value': {'field_classification': 'Categorical with 187858 categories', 'top_categories': {'d7c4f4a8-77b9-40c5-8d81-f50b40355723': 1, '9e57c604-b4a9-49c1-ae73-74bcf94af561': 1, '4befdf7c-4cea-475f-8719-5ecd24064fc8': 1, '83a70ae5-c00f-4ac4-8c0c-a0a40ef5d734': 1, 'b3795a46-562d-4e2c-be81-b83af492b73b': 1, '8c405f02-762d-46b0-b842-b54ae4ac2483': 1, '7b57ec9d-a2f4-4b4f-919b-7f8b3b94ca21': 1, '81d1aa1b-08ab-4c0c-907d-b92292dbffe3': 1, '35e337d7-85a7-4f85-8c27-7f1df37b46da': 1, 'ac190739-82e3-4122-a8da-4a13fed09272': 1, 'e7bc9313-4274-4f80-b621-9356b1989e37': 1, 'b06c94ca-aaf3-4be8-8676-019a8cefa021': 1, '8ff6520a-408e-4cc5-bc06-fa28210ecbe5': 1, '9e36f802-12fb-44d9-811b-8e25dca6056f': 1, '74db6513-bd50-445c-b092-8f56880a3350': 1, '8e8da6ad-0aef-4826-abb5-4a27a854670a': 1, '7d8cac81-86ba-48bc-b41f-85f8f0a9dbf7': 1, '003736c8-a165-4ec2-9f06-9b4827c93cdb': 1, 'c59b879c-87a4-4925-896a-b2a01f311d63': 1, 'd914f223-0aa8-44b4-916a-57db178387fe': 1}}}",d7c4f4a8-77b9-40c5-8d81-f50b40355723
type,187858,0,0.0,187858,JSON Object,JSON structure with 2 main fields,33,"['name', 'id']","{'id': {'data_type': ['int'], 'unique_values': 10, 'sample_values': ['22', '30', '21', '18', '43', '2', '17', '42', '35', '38'], 'field_classification': 'ID field - 10 unique identifiers'}, 'name': {'data_type': ['str'], 'unique_values': 10, 'sample_values': ['Pressure', 'Foul Won', 'Miscontrol', 'Half Start', 'Ball Recovery', 'Carry', 'Foul Committed', 'Starting XI', 'Pass', 'Ball Receipt*'], 'field_classification': 'Name field - categorical labels (10 categories)'}}","{'id': 35, 'name': 'Starting XI'}"
possession_team,187858,0,0.0,187858,JSON Object,JSON structure with 2 main fields,24,"['name', 'id']","{'id': {'data_type': ['int'], 'unique_values': 2, 'sample_values': ['768', '941'], 'field_classification': 'ID field - 2 unique identifiers'}, 'name': {'data_type': ['str'], 'unique_values': 2, 'sample_values': ['England', 'Netherlands'], 'field_classification': 'Name field - categorical labels (2 categories)'}}","{'id': 941, 'name': 'Netherlands'}"
play_pattern,187858,0,0.0,187858,JSON Object,JSON structure with 2 main fields,9,"['name', 'id']","{'id': {'data_type': ['int'], 'unique_values': 3, 'sample_values': ['3', '9', '1'], 'field_classification': 'ID field - 3 unique identifiers'}, 'name': {'data_type': ['str'], 'unique_values': 3, 'sample_values': ['From Free Kick', 'From Kick Off', 'Regular Play'], 'field_classification': 'Name field - categorical labels (3 categories)'}}","{'id': 1, 'name': 'Regular Play'}"
team,187858,0,0.0,187858,JSON Object,JSON structure with 2 main fields,24,"['name', 'id']","{'id': {'data_type': ['int'], 'unique_values': 2, 'sample_values': ['768', '941'], 'field_classification': 'ID field - 2 unique identifiers'}, 'name': {'data_type': ['str'], 'unique_values': 2, 'sample_values': ['England', 'Netherlands'], 'field_classification': 'Name field - categorical labels (2 categories)'}}","{'id': 941, 'name': 'Netherlands'}"
player,187858,864,0.4599218558698591,186994,JSON Object,JSON structure with 2 main fields,496,"['name', 'id']","{'id': {'data_type': ['int'], 'unique_values': 13, 'sample_values': ['3244', '20750', '21582', '3468', '7787', '2988', '3669', '3205', '15503', '8125'], 'field_classification': 'ID field - 13 unique identifiers'}, 'name': {'data_type': ['str'], 'unique_values': 13, 'sample_values': ['Nathan Aké', 'Stefan de Vrij', 'Kyle Walker', 'Tijjani Reijnders', 'Cody Mathès Gakpo', 'Denzel Dumfries', 'Kobbie Mainoo', 'Jerdy Schouten', 'Memphis Depay', 'Virgil van Dijk'], 'field_classification': 'Name field - categorical labels (13 categories)'}}","{'id': 99174, 'name': 'Kobbie Mainoo'}"
position,187858,864,0.4599218558698591,186994,JSON Object,JSON structure with 2 main fields,24,"['name', 'id']","{'id': {'data_type': ['int'], 'unique_values': 10, 'sample_values': ['4', '9', '3', '23', '6', '21', '5', '2', '11', '1'], 'field_classification': 'ID field - 10 unique identifiers'}, 'name': {'data_type': ['str'], 'unique_values': 10, 'sample_values': ['Left Defensive Midfield', 'Left Center Back', 'Right Defensive Midfield', 'Left Wing', 'Center Back', 'Right Back', 'Center Forward', 'Left Back', 'Goalkeeper', 'Right Center Back'], 'field_classification': 'Name field - categorical labels (10 categories)'}}","{'id': 9, 'name': 'Right Defensive Midfield'}"
match_id,187858,0,0.0,187858,Simple Categorical,Categorical values - 51 unique categories,51,['value'],"{'value': {'field_classification': 'Categorical with 51 categories', 'top_categories': {3942349: 5190, 3942227: 4882, 3941017: 4764, 3942226: 4463, 3941020: 4221, 3930161: 4066, 3930178: 4006, 3930172: 3982, 3941018: 3949, 3941019: 3941, 3930163: 3920, 3930171: 3881, 3930168: 3880, 3940878: 3853, 3938639: 3837, 3930160: 3796, 3930182: 3787, 3930174: 3786, 3930179: 3776, 3938643: 3767}}}",3942819
home_team_name,187858,0,0.0,187858,Simple Text,Player/team names - 24 unique values,24,['name'],{'name': {'field_classification': '24 unique names (player/team identifiers)'}},Netherlands
away_team_name,187858,0,0.0,187858,Simple Text,Player/team names - 24 unique values,24,['name'],{'name': {'field_classification': '24 unique names (player/team identifiers)'}},England
home_team_id,187858,0,0.0,187858,Simple Categorical,Categorical values - 24 unique categories,24,['value'],"{'value': {'field_classification': 'Categorical with 24 categories', 'top_categories': {772: 22830, 941: 13779, 768: 13334, 780: 13013, 770: 10893, 785: 7727, 771: 7708, 776: 7668, 909: 7623, 773: 7577, 915: 7440, 944: 7061, 2138: 6991, 789: 6801, 782: 6743, 942: 6511, 908: 6398, 905: 6165, 914: 4066, 786: 3920}}}",941
away_team_id,187858,0,0.0,187858,Simple Categorical,Categorical values - 24 unique categories,24,['value'],"{'value': {'field_classification': 'Categorical with 24 categories', 'top_categories': {771: 15917, 768: 14598, 914: 11841, 773: 11363, 909: 10090, 908: 8307, 770: 8187, 944: 7909, 906: 7787, 2138: 7786, 782: 7466, 780: 7445, 786: 7339, 916: 7266, 776: 7149, 912: 6934, 911: 6681, 915: 6598, 941: 6397, 905: 6086}}}",768
related_events,187858,6698,3.565459016917033,181160,JSON Object,JSON structure with 0 main fields,175696,[],{},['75fd7777-ef15-4fdc-abb1-1349fef334c1']
