minute,sequence_rank,real_commentary,real_commentary_type,our_sequence_commentary,sequence_id,score_before,average_score,cosine_similarity,entity_overlap,semantic_similarity,entity_players_match,entity_actions_match,entity_outcome_match
1,1,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,"[0:00]  THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between England and Netherlands. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Kobbie Mainoo under pressure, plays a long pass back along the ground to Jordan Pickford Jordan Pickford receives under pressure, carries the ball from the central defensive third into the right defensive third - BUT LOSES IT! . Memphis Depay closes down Jordan Pickford .  THE EURO 2024 MATCH IS UNDERWAY! Welcome for this clash between England and Netherlands. Both teams have fought hard to reach this stage of Euro 2024. We're all set for kick-off! Jordan Pickford under MASSIVE pressure, plays a long ball forward through the air into the left attacking third, INTERCEPTED! England loses the ball",2,N/A,0.3289,0.1374,0.2,0.6493,0.0,0.0,1.0
1,2,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,[0:00] Starting XI . Starting XI . Half Start . Half Start,1,N/A,0.1855,0.0,0.2,0.3566,0.0,0.0,1.0
1,3,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,"[0:39] Jerdy Schouten under pressure, delivers the free kick a short pass back along the ground to Stefan de Vrij Stefan de Vrij receives under pressure, carries the ball under pressure, delivers the free kick a medium pass along the ground to Virgil van Dijk Virgil van Dijk receives",6,N/A,0.1654,0.0,0.2,0.2963,0.0,0.0,1.0
1,4,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,"[0:28] Nathan Aké under pressure, carries the ball under pressure, delivers the free kick a medium pass back along the ground to Virgil van Dijk Virgil van Dijk receives under pressure, carries the ball under pressure, delivers the free kick a medium pass along the ground to Stefan de Vrij",5,N/A,0.1408,0.0,0.2,0.2225,0.0,0.0,1.0
1,5,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,"[0:13] Harry Kane under pressure, carries the ball - BUT LOSES IT! . Tijjani Reijnders closes down Harry Kane . Harry Kane loses control under pressure!",3,N/A,0.138,0.0,0.2,0.214,0.0,0.0,1.0
1,6,KICKOFF:  THE SECOND EURO 2024 SEMI-FINAL IS UNDERWAY!,key_event,"[0:16] Cody Mathès Gakpo wins the ball back under pressure, carries the ball - BUT LOSES IT! . Kyle Walker closes down Cody Mathès Gakpo ⚠ FOUL by Kyle Walker in the central midfield . Cody Mathès Gakpo is fouled",4,N/A,0.137,0.0,0.2,0.2111,0.0,0.0,1.0
2,1,Malen immediately tries a run in behind but the Dutchman is caught offside.,general,"[1:49] Kobbie Mainoo under pressure, delivers the free kick a short pass along the ground to Jude Bellingham Jude Bellingham receives under pressure, carries the ball - BUT LOSES IT! . Xavi Simons closes down Jude Bellingham . Jude Bellingham under MASSIVE pressure, delivers the free kick a short pass along the ground, INTERCEPTED! England loses the ball",12,N/A,0.1778,0.0,0.2,0.3334,0.0,0.0,1.0
2,2,Malen immediately tries a run in behind but the Dutchman is caught offside.,general,"[0:51] Denzel Dumfries receives under pressure, carries the ball under pressure, delivers the free kick a medium pass back along the ground to Stefan de Vrij Stefan de Vrij receives under pressure, carries the ball",7,N/A,0.1767,0.0,0.2,0.33,0.0,0.0,1.0
2,3,Malen immediately tries a run in behind but the Dutchman is caught offside.,general,"[1:36] Phil Foden under pressure, carries the ball under pressure, delivers the free kick a medium pass back along the ground to Jude Bellingham Jude Bellingham receives under pressure, carries the ball under pressure, delivers the free kick a medium pass along the ground to John Stones",10,N/A,0.17,0.0,0.2,0.3099,0.0,0.0,1.0
2,4,Malen immediately tries a run in behind but the Dutchman is caught offside.,general,"[1:20] Marc Guehi under pressure, delivers the free kick a long pass back along the ground to Jordan Pickford Jordan Pickford receives under pressure, delivers the free kick a medium pass forward along the ground to John Stones John Stones receives under pressure, carries the ball",8,N/A,0.1597,0.0,0.2,0.2792,0.0,0.0,1.0
2,5,Malen immediately tries a run in behind but the Dutchman is caught offside.,general,"[1:31] Jude Bellingham under pressure, carries the ball under pressure, delivers the free kick a medium pass along the ground to Marc Guehi Marc Guehi receives under pressure, carries the ball under pressure, delivers the free kick a medium pass forward along the ground to Kieran Trippier",9,N/A,0.1593,0.0,0.2,0.2779,0.0,0.0,1.0
2,6,Malen immediately tries a run in behind but the Dutchman is caught offside.,general,"[1:44] Cody Mathès Gakpo closes down Kyle Walker is beaten by Cody Mathès Gakpo! . Kyle Walker takes on the defender under pressure, carries the ball - BUT LOSES IT! . Cody Mathès Gakpo closes down Kyle Walker",11,N/A,0.1515,0.0,0.2,0.2546,0.0,0.0,1.0
4,1,"England settle into a nice period of possession and Phil Foden wins a free kick off of Jerdy Schouten. CHANCE!  The effervescent Simons charges forward on the right and tries to thread a pass into Malen, but Guehi does enough to shield the ball back to Jordan Pickford.",general,"[2:39] Kobbie Mainoo under pressure, delivers the free kick a short pass along the ground to Phil Foden Phil Foden receives under pressure, carries the ball from the central midfield into the right midfield - BUT LOSES IT! . Jerdy Schouten closes down Phil Foden ⚠ FOUL by Jerdy Schouten in the left midfield",17,N/A,0.3957,0.1402,0.4429,0.604,0.14285714285714285,0.2,1.0
4,2,"England settle into a nice period of possession and Phil Foden wins a free kick off of Jerdy Schouten. CHANCE!  The effervescent Simons charges forward on the right and tries to thread a pass into Malen, but Guehi does enough to shield the ball back to Jordan Pickford.",general,"[3:30] Memphis Depay under pressure, plays a medium pass forward along the ground to Xavi Simons Xavi Simons receives under pressure, drives forward with the ball from the left midfield into the left attacking third under pressure, plays a long pass forward along the ground to Donyell Malen into the central attacking third, INTERCEPTED! Netherlands loses the ball . Kyle Walker closes down Xavi Simons",22,N/A,0.3006,0.0835,0.375,0.4432,0.375,0.25,1.0
4,3,"England settle into a nice period of possession and Phil Foden wins a free kick off of Jerdy Schouten. CHANCE!  The effervescent Simons charges forward on the right and tries to thread a pass into Malen, but Guehi does enough to shield the ball back to Jordan Pickford.",general,"[3:15] Phil Foden under pressure, carries the ball - BUT LOSES IT! . Stefan de Vrij closes down Phil Foden . Phil Foden takes on the defender",19,N/A,0.2732,0.0561,0.2429,0.5206,0.14285714285714285,0.0,1.0
4,4,"England settle into a nice period of possession and Phil Foden wins a free kick off of Jerdy Schouten. CHANCE!  The effervescent Simons charges forward on the right and tries to thread a pass into Malen, but Guehi does enough to shield the ball back to Jordan Pickford.",general,"[3:24] Stefan de Vrij under pressure, plays a short pass along the ground to Denzel Dumfries Denzel Dumfries receives under pressure, carries the ball under pressure, plays a medium pass along the ground to Jerdy Schouten Jerdy Schouten receives",21,N/A,0.2494,0.0814,0.2833,0.3836,0.0,0.3333333333333333,1.0
4,5,"England settle into a nice period of possession and Phil Foden wins a free kick off of Jerdy Schouten. CHANCE!  The effervescent Simons charges forward on the right and tries to thread a pass into Malen, but Guehi does enough to shield the ball back to Jordan Pickford.",general,"[3:11] Declan Rice receives under pressure, carries the ball under pressure, delivers the free kick a medium pass forward along the ground to Harry Kane Harry Kane receives under pressure, carries the ball - BUT LOSES IT!",18,N/A,0.2319,0.068,0.2625,0.3653,0.0,0.25,1.0
4,6,"England settle into a nice period of possession and Phil Foden wins a free kick off of Jerdy Schouten. CHANCE!  The effervescent Simons charges forward on the right and tries to thread a pass into Malen, but Guehi does enough to shield the ball back to Jordan Pickford.",general,"[3:16] Stefan de Vrij in the duel Virgil van Dijk wins the ball back under pressure, carries the ball under pressure, plays a medium pass back along the ground to Bart Verbruggen Bart Verbruggen receives",20,N/A,0.2079,0.0444,0.2833,0.2961,0.0,0.3333333333333333,1.0
5,1,"CHANCE!  England quickly go down the other end and Saka floats in a cross to the back stick, but Stefan de Vrij is there to clear.",key_event,"[4:04] Harry Kane receives under pressure in the central attacking third under pressure, carries the ball under pressure, plays a dangerous short pass along the ground to Bukayo Saka into the left attacking third Bukayo Saka receives under pressure in the left attacking third under pressure, carries the ball",24,N/A,0.2773,0.0229,0.35,0.4589,0.5,0.0,1.0
5,2,"CHANCE!  England quickly go down the other end and Saka floats in a cross to the back stick, but Stefan de Vrij is there to clear.",key_event,"[4:24] Phil Foden under pressure, carries the ball under pressure, plays a dangerous medium pass forward along the ground to Kieran Trippier into the DANGER ZONE Kieran Trippier receives under pressure in the right attacking third",26,N/A,0.1492,0.0,0.2,0.2477,0.0,0.0,1.0
5,3,"CHANCE!  England quickly go down the other end and Saka floats in a cross to the back stick, but Stefan de Vrij is there to clear.",key_event,"[4:17] Declan Rice receives under pressure in the right attacking third under pressure, carries the ball under pressure, plays a short pass along the ground to Kobbie Mainoo into the central attacking third Kobbie Mainoo receives under pressure in the central attacking third under pressure, carries the ball from the central attacking third into the right attacking third",25,N/A,0.1334,0.0,0.2,0.2001,0.0,0.0,1.0
5,4,"CHANCE!  England quickly go down the other end and Saka floats in a cross to the back stick, but Stefan de Vrij is there to clear.",key_event,"[3:37] The goalkeeper deals with it under pressure, carries the ball under pressure, plays a long pass forward to Kieran Trippier Kieran Trippier receives under pressure, carries the ball",23,N/A,0.085,0.0,0.0,0.2549,0.0,0.0,0.0
7,1,Kieran Trippier goes for the long ball over the top to Bellingham - back in Dortmund territory - but it rolls harmlessly through to Bart Verbruggen. GOAL!  NETHERLANDS 1-0 ENGLAND (SIMONS) GOAL!  AND THAT IS WHAT XAVI SIMONS DOES. THE NETHERLANDS LEAD IN THE SEVENTH MINUTE.,key_event,"[6:02] Kieran Trippier under pressure, carries the ball under pressure, plays a long ball forward through the air to Jude Bellingham into the right attacking third, but the pass doesn't find its target Jude Bellingham receives",35,N/A,0.2785,0.0866,0.12,0.629,0.4,0.0,0.0
7,2,Kieran Trippier goes for the long ball over the top to Bellingham - back in Dortmund territory - but it rolls harmlessly through to Bart Verbruggen. GOAL!  NETHERLANDS 1-0 ENGLAND (SIMONS) GOAL!  AND THAT IS WHAT XAVI SIMONS DOES. THE NETHERLANDS LEAD IN THE SEVENTH MINUTE.,key_event,"[6:07] Bart Verbruggen wins the ball back under pressure, plays a medium pass forward along the ground to Virgil van Dijk Virgil van Dijk receives under pressure, plays a short pass along the ground to Jerdy Schouten Jerdy Schouten receives",36,N/A,0.1983,0.0176,0.05,0.5272,0.16666666666666666,0.0,0.0
7,3,Kieran Trippier goes for the long ball over the top to Bellingham - back in Dortmund territory - but it rolls harmlessly through to Bart Verbruggen. GOAL!  NETHERLANDS 1-0 ENGLAND (SIMONS) GOAL!  AND THAT IS WHAT XAVI SIMONS DOES. THE NETHERLANDS LEAD IN THE SEVENTH MINUTE.,key_event,[6:42] The goalkeeper deals with it,39,N/A,0.1863,0.0,0.2,0.3588,0.0,0.0,1.0
7,4,Kieran Trippier goes for the long ball over the top to Bellingham - back in Dortmund territory - but it rolls harmlessly through to Bart Verbruggen. GOAL!  NETHERLANDS 1-0 ENGLAND (SIMONS) GOAL!  AND THAT IS WHAT XAVI SIMONS DOES. THE NETHERLANDS LEAD IN THE SEVENTH MINUTE.,key_event,"[6:34] Denzel Dumfries under pressure, plays a long ball forward through the air to Cody Mathès Gakpo into the left attacking third, but the pass doesn't find its target Cody Mathès Gakpo receives under pressure in the central attacking third . Marc Guehi under pressure, plays a short pass through the air to Declan Rice Declan Rice receives under pressure, carries the ball from the right midfield into the right defensive third - BUT LOSES IT!",38,N/A,0.138,0.0265,0.0,0.3874,0.0,0.0,0.0
7,5,Kieran Trippier goes for the long ball over the top to Bellingham - back in Dortmund territory - but it rolls harmlessly through to Bart Verbruggen. GOAL!  NETHERLANDS 1-0 ENGLAND (SIMONS) GOAL!  AND THAT IS WHAT XAVI SIMONS DOES. THE NETHERLANDS LEAD IN THE SEVENTH MINUTE.,key_event,"[6:20] Memphis Depay under pressure, carries the ball from the central midfield into the left midfield under pressure, plays a medium pass back along the ground to Stefan de Vrij Stefan de Vrij receives under pressure, carries the ball under pressure, plays a medium pass along the ground to Virgil van Dijk",37,N/A,0.1326,0.0149,0.0,0.383,0.0,0.0,0.0
7,6,Kieran Trippier goes for the long ball over the top to Bellingham - back in Dortmund territory - but it rolls harmlessly through to Bart Verbruggen. GOAL!  NETHERLANDS 1-0 ENGLAND (SIMONS) GOAL!  AND THAT IS WHAT XAVI SIMONS DOES. THE NETHERLANDS LEAD IN THE SEVENTH MINUTE.,key_event,"[5:54] Kyle Walker receives under pressure, carries the ball under pressure, plays a medium pass back along the ground to John Stones John Stones receives under pressure, carries the ball",34,N/A,0.1157,0.0208,0.0,0.3263,0.0,0.0,0.0
12,1,Foden takes it but his Manchester City teammate Ake heads clear.,general,"[10:38] Xavi Simons closes down Jude Bellingham receives . Bukayo Saka wins the ball back under pressure, drives forward with the ball from the left midfield into the central attacking third - BUT LOSES IT! . Cody Mathès Gakpo closes down Bukayo Saka",45,N/A,0.1829,0.0,0.2,0.3488,0.0,0.0,1.0
12,2,Foden takes it but his Manchester City teammate Ake heads clear.,general,"[11:34] Declan Rice under pressure, delivers the free kick a dangerous short pass along the ground into the central attacking third, INTERCEPTED! England loses the ball . Crucial block by Denzel Dumfries! Virgil van Dijk clears the danger . Kieran Trippier under pressure, plays a dangerous short pass to Declan Rice into the DANGER ZONE Declan Rice receives under pressure in the right attacking third",46,N/A,0.129,0.0,0.0357,0.3514,0.0,0.14285714285714285,0.0
13,1,Trippier takes this one and finds Rice at the back post. The Arsenal man tries to cut back for a teammate but can only find the boot of Van Dijk.,general,"[12:16] Stefan de Vrij under pressure, delivers the free kick a long pass along the ground to Bart Verbruggen Bart Verbruggen receives under pressure, carries the ball under pressure, delivers the free kick a medium pass along the ground to Virgil van Dijk Virgil van Dijk receives",47,N/A,0.2538,0.0679,0.26,0.4334,0.2,0.0,1.0
13,2,Trippier takes this one and finds Rice at the back post. The Arsenal man tries to cut back for a teammate but can only find the boot of Van Dijk.,general,"[12:30] Kieran Trippier in the duel under pressure, carries the ball under pressure, plays a short pass along the ground to Kobbie Mainoo Kobbie Mainoo receives under pressure, carries the ball - BUT LOSES IT!",49,N/A,0.2105,0.0141,0.26,0.3574,0.2,0.0,1.0
13,3,Trippier takes this one and finds Rice at the back post. The Arsenal man tries to cut back for a teammate but can only find the boot of Van Dijk.,general,"[12:25] Bart Verbruggen under pressure, delivers the free kick a long pass forward along the ground to Xavi Simons . Declan Rice closes down Bart Verbruggen . Xavi Simons receives under pressure, carries the ball under pressure, delivers the free kick a medium pass forward along the ground to Donyell Malen",48,N/A,0.2035,0.0109,0.2375,0.3622,0.125,0.0,1.0
13,4,Trippier takes this one and finds Rice at the back post. The Arsenal man tries to cut back for a teammate but can only find the boot of Van Dijk.,general,"[12:36] Jude Bellingham receives under pressure in the right attacking third under pressure, carries the ball under pressure, plays a long pass along the ground to Harry Kane into the central attacking third Harry Kane receives under pressure in the central attacking third under pressure, carries the ball",50,N/A,0.187,0.0,0.2,0.361,0.0,0.0,1.0
14,1,SAVE!  HARRY KANE HAS A SHOT! SHOT!  Kane now fires over the top after a quick break and brilliant work from Saka!,key_event,"[13:35] Stefan de Vrij closes down Harry Kane . Harry Kane under MASSIVE pressure, plays a medium pass forward along the ground to Bukayo Saka into the left attacking third Bukayo Saka receives under pressure in the left attacking third under pressure, carries the ball - NOW IN THE DANGER ZONE! - BUT LOSES IT! . Nathan Aké closes down Bukayo Saka",55,N/A,0.3075,0.0842,0.2,0.6383,0.6666666666666666,0.0,0.0
14,2,SAVE!  HARRY KANE HAS A SHOT! SHOT!  Kane now fires over the top after a quick break and brilliant work from Saka!,key_event,"[12:54] Kobbie Mainoo receives under pressure in the right attacking third under pressure, carries the ball under pressure, plays a short pass back along the ground to Declan Rice Declan Rice receives under pressure, carries the ball",51,N/A,0.0754,0.0,0.0,0.2263,0.0,0.0,0.0
14,3,SAVE!  HARRY KANE HAS A SHOT! SHOT!  Kane now fires over the top after a quick break and brilliant work from Saka!,key_event,"[13:02] Phil Foden under pressure, carries the ball under pressure, plays a medium pass back along the ground to Declan Rice Declan Rice receives under pressure, carries the ball from the central midfield into the right midfield under pressure, plays a short pass along the ground to Marc Guehi",52,N/A,0.0697,0.0,0.0,0.2091,0.0,0.0,0.0
14,4,SAVE!  HARRY KANE HAS A SHOT! SHOT!  Kane now fires over the top after a quick break and brilliant work from Saka!,key_event,"[13:13] Kieran Trippier under pressure, plays a medium pass back along the ground to Marc Guehi Marc Guehi receives under pressure, carries the ball under pressure, plays a long pass back along the ground to Jordan Pickford Jordan Pickford receives",53,N/A,0.0691,0.0,0.0,0.2072,0.0,0.0,0.0
14,5,SAVE!  HARRY KANE HAS A SHOT! SHOT!  Kane now fires over the top after a quick break and brilliant work from Saka!,key_event,"[13:29] Marc Guehi receives under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Jude Bellingham Jude Bellingham receives under pressure, carries the ball",54,N/A,0.047,0.0,0.0,0.1411,0.0,0.0,0.0
18,1,"GOAL!  NETHERLANDS 1-1 ENGLAND (KANE) GOAL!  Kane makes no mistake! Verbruggen dives the right way, but Kane's penalty is just too perfect.",key_event,"[13:43] Harry Kane under pressure, carries the ball - BUT LOSES IT! . Denzel Dumfries closes down Harry Kane ⚠ FOUL by Denzel Dumfries in the central defensive third - YELLOW CARD for Denzel Dumfries! PENALTY! . Harry Kane is fouled  GOOOAL! Harry Kane scores! What a strike with the right foot! England now lead 2-0! His 3rd goal of the tournament in the 17th minute! A crucial two-goal lead!",56,N/A,0.4219,0.1909,0.475,0.5999,0.25,0.2,1.0
20,1,"There will certainly be some debate about the awarding of the penalty - I initially didn't think it was, but upon seeing a replay, Dumfries did go in with his studs.",general,"[19:00] Kieran Trippier under pressure, plays a long ball forward through the air into the right attacking third, INTERCEPTED! England loses the ball",58,N/A,0.0909,0.0,0.0,0.2727,0.0,0.0,0.0
20,2,"There will certainly be some debate about the awarding of the penalty - I initially didn't think it was, but upon seeing a replay, Dumfries did go in with his studs.",general,"[19:18] Bart Verbruggen under pressure, carries the ball - BUT LOSES IT! . Harry Kane closes down Bart Verbruggen . Bart Verbruggen under MASSIVE pressure, plays a long pass forward along the ground to Memphis Depay Memphis Depay receives under pressure, carries the ball",60,N/A,0.0796,0.0,0.0,0.2387,0.0,0.0,0.0
20,3,"There will certainly be some debate about the awarding of the penalty - I initially didn't think it was, but upon seeing a replay, Dumfries did go in with his studs.",general,"[19:07] Virgil van Dijk wins the ball back under pressure, carries the ball under pressure, plays a long pass back along the ground to Bart Verbruggen Bart Verbruggen receives under pressure, carries the ball",59,N/A,0.079,0.0,0.0,0.237,0.0,0.0,0.0
20,4,"There will certainly be some debate about the awarding of the penalty - I initially didn't think it was, but upon seeing a replay, Dumfries did go in with his studs.",general,"[19:27] Kyle Walker intercepts! . Nathan Aké under pressure, plays a long pass back to Virgil van Dijk Virgil van Dijk receives under pressure, carries the ball under pressure, plays a long pass along the ground to Stefan de Vrij",61,N/A,0.0445,0.0,0.0,0.1336,0.0,0.0,0.0
23,1,CLOSE!  WHAT. A. CLEARANCE!!!!,key_event,"[22:25] Kobbie Mainoo under pressure, plays a dangerous short pass along the ground to Phil Foden into the DANGER ZONE Phil Foden receives under pressure in the left attacking third under pressure, carries the ball - NOW IN THE DANGER ZONE! - BUT LOSES IT! . Nathan Aké closes down Phil Foden Virgil van Dijk closes down the ball carrier",75,N/A,0.1329,0.0,0.2,0.1988,0.0,0.0,1.0
23,2,CLOSE!  WHAT. A. CLEARANCE!!!!,key_event,"[22:06] Kieran Trippier under pressure, plays a medium pass forward along the ground to Jude Bellingham Jude Bellingham receives under pressure, carries the ball - BUT LOSES IT! . Jerdy Schouten closes down Jude Bellingham . Jude Bellingham under pressure, plays a short pass along the ground, INTERCEPTED! England loses the ball",73,N/A,0.1069,0.0,0.2,0.1207,0.0,0.0,1.0
23,3,CLOSE!  WHAT. A. CLEARANCE!!!!,key_event,"[22:00] Tijjani Reijnders under pressure, plays a short pass along the ground to Nathan Aké Nathan Aké receives under pressure, carries the ball from the right defensive third into the right midfield under pressure, plays a medium pass forward along the ground to Memphis Depay . Declan Rice closes down Nathan Aké",72,N/A,0.103,0.0,0.2,0.1089,0.0,0.0,1.0
23,4,CLOSE!  WHAT. A. CLEARANCE!!!!,key_event,"[22:46] John Stones receives under pressure in the left attacking third under pressure, carries the ball under pressure, plays a medium pass along the ground to Declan Rice into the central attacking third Declan Rice receives under pressure in the central attacking third under pressure, carries the ball",76,N/A,0.0877,0.0,0.2,0.0632,0.0,0.0,1.0
23,5,CLOSE!  WHAT. A. CLEARANCE!!!!,key_event,"[21:31] Tijjani Reijnders wins the ball back under pressure, carries the ball under pressure, plays a medium pass forward to Memphis Depay Memphis Depay receives under pressure, carries the ball - BUT LOSES IT!",71,N/A,0.08,0.0,0.2,0.0399,0.0,0.0,1.0
23,6,CLOSE!  WHAT. A. CLEARANCE!!!!,key_event,"[22:15] Harry Kane under pressure, carries the ball under pressure, plays a short pass back along the ground to Kyle Walker Kyle Walker receives under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Phil Foden",74,N/A,0.0769,0.0,0.2,0.0308,0.0,0.0,1.0
24,1,"CLOSE!  Mainoo and Foden link up brilliantly as the latter prods the ball towards goal from a tight angle, and his toe-poke beats Verbruggen but Dumfries is there to stop the ball right on the line!",key_event,"[22:54] John Stones under pressure, carries the ball under pressure, plays a medium pass forward along the ground to Bukayo Saka Bukayo Saka receives under pressure, carries the ball from the left midfield into the left attacking third under pressure, plays a long ball forward through the air to Kieran Trippier into the right attacking third",77,N/A,0.1981,0.0611,0.15,0.3833,0.0,0.0,0.0
